Area,Perimetro,promB,promG,promR,m0,m1,m2,m3,m4,m5,m6,clase
5.5,9.4142,5602.0,6109.67,6916.97,0.18048251106092383,0.005107367087953039,0.0003076083713447756,1.2187522751258195e-05,1.773566009299411e-11,2.5336235225103203e-07,-7.460184000588111e-10,Cocaina
9.5,21.8995,6243.09,6315.32,6298.04,0.6452187717680359,0.36902579666984986,0.015017911138056379,0.006110574033022341,5.502138894435843e-05,0.0024556295919002367,-1.9979610218633666e-05,Cocaina
6072.5,314.9777,17464.05,16435.5,13597.08,0.1606311541955907,0.00034402586821388607,8.079845132679236e-06,3.115609299487414e-08,1.3309021494354211e-14,5.770729346399534e-10,8.199451986025222e-15,Cocaina
3141.0,249.2792,7544.25,7787.44,7902.11,0.18476942991100254,0.000968896022135314,0.002701651584192748,8.573582534338893e-05,4.106240709893084e-08,2.463199689763285e-06,-4.061190375882422e-09,Cocaina
3775.0,410.1909,9187.54,12658.78,12550.5,0.26205283467583484,0.0060875589589363096,0.007621810133168076,0.000398149037383174,-5.385185998211157e-07,-3.094197097389811e-05,4.3709628698052295e-07,Extasis
101.5,39.8995,9472.42,10593.19,10792.3,0.16585217015489914,1.8644717577071232e-05,0.00050620648152404,2.734676536741236e-06,-8.935833689105749e-11,4.040969154709522e-09,4.865795011115729e-11,Extasis
375.5,75.3553,3388.91,4487.29,5626.32,0.17848128621910603,0.006442687138050285,4.467977083820775e-06,2.2143365180794352e-07,6.701643484340108e-14,4.785344889731423e-10,-2.0980937440394865e-13,Extasis
4.5,8.2426,16299.18,18911.69,18842.86,0.1740588324951485,0.0038871485704859224,0.0002272565851174136,7.255876211786759e-06,5.742040496541916e-12,-7.881383993542783e-08,2.9458494558281904e-10,Marihuana
2.0,15.6569,15653.06,17068.59,17666.16,0.2222222222224559,0.012345679012340065,0.005486968450361274,0.0002194787381132533,-2.4085458236471766e-07,-2.4386526457022602e-05,-1.434096395221883e-16,Marihuana
130.0,79.9411,12664.77,14887.27,15010.96,0.4147614423709086,0.10603962963811864,0.010465170471776121,0.001721547547399123,5.943989788528574e-06,2.4546144318621593e-05,4.250214990045545e-06,Marihuana
3.0,17.6569,20791.8,23174.57,21931.29,0.6759259259261954,0.40440672153658064,0.05009398973799636,0.040339379153979636,0.0018126764582638935,0.02500559798451199,-5.017803760086546e-05,Marihuana
2.5,7.4142,9473.64,9407.41,9436.8,0.25777777777799776,0.03794567901243005,0.0008959648831902943,0.00021666940995163526,8.031428972566365e-08,2.5277894912268705e-05,-5.1605090065501984e-08,Metanfetamina
1754.5,310.8356,4720.83,4982.19,5099.71,0.17897293555043378,0.0008663681833828007,0.0001515847886902262,6.795880035283173e-05,8.629922470624145e-13,1.8447204779876715e-06,-6.8975739245755805e-09,Metanfetamina
